attitude,planning,parents,goodval,getto,age,educ,income,cnty
2,4,1,1,3,3,3,2,Other
5,7,7,4,4,6,5,3,DuPage
4,4,4,3,4,8,4,10,Cook
7,6,4,7,7,9,3,6,Cook
7,7,6,6,6,8,8,12,DuPage
4,6,4,1,2,8,6,2,DuPage
4,6,4,3,6,4,5,7,Cook
6,7,1,1,2,6,3,5,Other
6,6,4,3,5,1,5,10,Cook
6,7,7,5,3,10,5,5,DuPage
5,5,4,4,4,3,3,1,Cook
5,6,7,2,2,3,3,4,Cook
6,3,6,7,7,8,5,5,Other
7,6,6,3,4,5,6,4,DuPage
6,4,4,3,2,4,8,12,Cook
7,7,7,1,1,9,5,10,Cook
5,5,5,4,4,3,7,4,Cook
7,7,4,2,6,7,6,8,Cook
5,7,4,6,5,8,3,12,Cook
1,4,4,1,7,5,4,7,DuPage
5,5,7,3,5,4,5,7,Cook
6,4,6,4,6,9,7,10,DuPage
2,4,1,1,4,5,4,3,Cook
4,6,4,3,3,6,6,7,DuPage
1,7,1,1,1,3,5,10,Cook
5,3,4,5,5,3,8,8,Cook
5,6,2,3,3,3,7,5,Other
4,6,4,3,2,6,5,3,Cook
6,7,6,4,5,7,8,7,Other
5,6,4,4,5,11,6,5,Other
5,5,4,4,4,5,6,3,Cook
6,7,4,1,1,4,5,1,Other
6,6,6,3,2,5,6,8,Cook
5,7,7,2,6,6,7,6,Cook
7,6,7,3,2,4,6,2,Cook
5,7,4,1,7,8,5,12,Chicago
7,7,2,3,7,4,5,4,Cook
5,6,5,5,6,6,3,5,Other
7,7,4,2,6,4,5,4,DuPage
5,6,4,4,5,12,3,3,DuPage
4,4,4,4,4,12,7,3,DuPage
6,6,5,6,1,12,6,3,DuPage
6,6,5,5,5,12,6,4,Cook
3,4,4,1,4,5,4,5,Cook
6,7,5,1,6,6,4,5,Cook
7,4,7,6,7,7,5,11,Cook
5,7,7,3,3,4,5,6,Cook
4,4,4,3,5,12,4,1,Cook
5,5,4,2,3,3,5,4,Cook
4,6,5,4,5,7,5,8,Cook
4,6,6,6,6,6,5,12,DuPage
7,1,1,1,1,6,4,11,Cook
5,5,4,2,5,3,4,5,Other
4,4,7,4,4,12,6,8,Cook
5,5,4,2,1,12,4,2,Other
7,7,6,7,6,11,7,12,Cook
4,4,4,4,4,5,5,10,Cook
4,4,4,4,4,12,3,2,Cook
7,7,7,2,5,4,8,9,Cook
5,5,5,4,4,10,8,7,Cook
7,7,4,1,5,10,6,2,Cook
5,6,5,4,2,7,8,12,Cook
4,5,3,1,2,5,4,12,Cook
4,4,4,4,4,10,2,2,Cook
5,6,4,3,5,8,8,4,Cook
6,7,7,7,7,12,5,2,Cook
6,6,6,6,6,4,4,6,Cook
5,6,6,6,4,7,2,6,Lake
6,6,6,6,6,9,6,12,Cook
4,7,7,4,4,12,4,1,Cook
6,7,4,1,4,12,4,1,DuPage
6,7,7,4,6,3,7,8,DuPage
2,6,3,2,6,2,5,12,Chicago
