id,subscription,year,defect
472,high,5,0
472,high,6,1
473,high,1,0
473,high,2,0
473,high,3,0
473,high,4,0
473,high,5,0
473,high,6,1
474,high,1,0
474,high,2,0
474,high,3,0
474,high,4,0
474,high,5,0
474,high,6,1
475,high,1,0
475,high,2,0
475,high,3,0
475,high,4,0
475,high,5,0
475,high,6,1
476,high,1,0
476,high,2,0
476,high,3,0
476,high,4,0
476,high,5,0
476,high,6,1
477,high,1,0
477,high,2,0
477,high,3,0
477,high,4,0
477,high,5,0
477,high,6,1
478,high,1,0
478,high,2,0
478,high,3,0
478,high,4,0
478,high,5,0
478,high,6,1
479,high,1,0
479,high,2,0
479,high,3,0
479,high,4,0
479,high,5,0
479,high,6,1
480,high,1,0
480,high,2,0
480,high,3,0
480,high,4,0
480,high,5,0
480,high,6,1
481,high,1,0
481,high,2,0
481,high,3,0
481,high,4,0
481,high,5,0
481,high,6,1
482,high,1,0
482,high,2,0
482,high,3,0
482,high,4,0
482,high,5,0
482,high,6,1
483,high,1,0
483,high,2,0
483,high,3,0
483,high,4,0
483,high,5,0
483,high,6,1
484,high,1,0
484,high,2,0
484,high,3,0
484,high,4,0
484,high,5,0
484,high,6,0
484,high,7,1
485,high,1,0
485,high,2,0
485,high,3,0
485,high,4,0
485,high,5,0
485,high,6,0
485,high,7,1
486,high,1,0
486,high,2,0
486,high,3,0
486,high,4,0
486,high,5,0
486,high,6,0
486,high,7,1
487,high,1,0
487,high,2,0
487,high,3,0
487,high,4,0
487,high,5,0
487,high,6,0
487,high,7,1
488,high,1,0
488,high,2,0
488,high,3,0
488,high,4,0
488,high,5,0
488,high,6,0
488,high,7,1
489,high,1,0
489,high,2,0
489,high,3,0
489,high,4,0
489,high,5,0
489,high,6,0
489,high,7,1
490,high,1,0
490,high,2,0
490,high,3,0
490,high,4,0
490,high,5,0
490,high,6,0
490,high,7,1
491,high,1,0
491,high,2,0
491,high,3,0
491,high,4,0
491,high,5,0
491,high,6,0
491,high,7,1
492,high,1,0
492,high,2,0
492,high,3,0
492,high,4,0
492,high,5,0
492,high,6,0
492,high,7,1
493,high,1,0
493,high,2,0
493,high,3,0
493,high,4,0
493,high,5,0
493,high,6,0
493,high,7,1
494,high,1,0
494,high,2,0
494,high,3,0
494,high,4,0
494,high,5,0
494,high,6,0
494,high,7,1
495,high,1,0
495,high,2,0
495,high,3,0
495,high,4,0
495,high,5,0
495,high,6,0
495,high,7,1
496,high,1,0
496,high,2,0
496,high,3,0
496,high,4,0
496,high,5,0
496,high,6,0
496,high,7,1
497,high,1,0
497,high,2,0
497,high,3,0
497,high,4,0
497,high,5,0
497,high,6,0
497,high,7,1
498,high,1,0
498,high,2,0
498,high,3,0
498,high,4,0
498,high,5,0
498,high,6,0
498,high,7,1
499,high,1,0
499,high,2,0
499,high,3,0
499,high,4,0
499,high,5,0
499,high,6,0
499,high,7,1
500,high,1,0
500,high,2,0
500,high,3,0
500,high,4,0
500,high,5,0
500,high,6,0
500,high,7,1
501,high,1,0
501,high,2,0
501,high,3,0
501,high,4,0
501,high,5,0
501,high,6,0
501,high,7,1
502,high,1,0
502,high,2,0
502,high,3,0
502,high,4,0
502,high,5,0
502,high,6,0
502,high,7,1
503,high,1,0
503,high,2,0
503,high,3,0
503,high,4,0
503,high,5,0
503,high,6,0
503,high,7,1
504,high,1,0
504,high,2,0
504,high,3,0
504,high,4,0
504,high,5,0
504,high,6,0
504,high,7,1
505,high,1,0
505,high,2,0
505,high,3,0
505,high,4,0
505,high,5,0
505,high,6,0
505,high,7,1
506,high,1,0
506,high,2,0
506,high,3,0
506,high,4,0
506,high,5,0
506,high,6,0
506,high,7,1
507,high,1,0
507,high,2,0
507,high,3,0
507,high,4,0
507,high,5,0
507,high,6,0
507,high,7,1
